cas	phenotype	source	concentration	duration	phenotype_label	phenotype_CURIE	chem_label	chem_curie
56-53-1	Abnormal heartbeat	Biobide	LEL	2dpf	heart contraction rate, abnormal	ZP_0009432	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
860302-33-6	Abnormal heartbeat	Biobide	LEL	2dpf	heart contraction rate, abnormal	ZP_0009432	Firemaster 550	
52918-63-5	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Deltamethrin	http://purl.obolibrary.org/obo/CHEBI_4388
86-73-7	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Fluorene	http://purl.obolibrary.org/obo/CHEBI_28266
68937-41-7	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Triphenyl phosphates isopropylated	Q27137290
133-06-2	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Captan	http://purl.obolibrary.org/obo/CHEBI_34608
56-35-9	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
1478-61-1	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
97-77-8	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
56803-37-3	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	tert-Butylphenyl diphenyl phosphate	
116-06-3	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Aldicarb	http://purl.obolibrary.org/obo/CHEBI_2555
58-89-9	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
85-01-8	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
107534-96-3	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
2001-95-8	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
